Name,Type,Category,Price,Location,County,No. of Bedrooms,No. of Bathrooms,No. of Ensuite Bedrooms,Date,Floor_area_sqm,Land_Size,Elevator,Parking,Condition,DSQ,Floor_Number,URL
3 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 29,000,000",Kileleshwa,,3.0,4.0,1.0,2026-06-16,2400.0,,1,1,,1,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4011433
4 Bed Apartment at Githunguri Road,Residential,Apartment,"KSh 26,000,000",Kileleshwa,,4.0,5.0,1.0,2026-06-12,272.0,,1,1,,1,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4009213
4 Bed Apartment in Lavington,Residential,Apartment,"KSh 13,000,000",Lavington,,4.0,5.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-lavington-4018041
3 Bed Apartment in Lavington,Residential,Apartment,"KSh 10,500,000",Lavington,,3.0,3.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4018020
2 Bed Apartment in Lavington,Residential,Apartment,"KSh 6,000,000",Lavington,,2.0,2.0,1.0,2026-06-27,50.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4018039
1 Bed Apartment in Lavington,Residential,Apartment,"KSh 3,000,000",Lavington,,1.0,1.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4018037
4 Bed Apartment in Kilimani,Residential,Apartment,"KSh 13,000,000",Kilimani,,4.0,4.0,1.0,2026-06-29,,,1,1,,1,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kilimani-4018665
4 Bed Apartment in Kilimani,Residential,Apartment,"KSh 13,000,000",Kilimani,,4.0,4.0,1.0,2026-06-29,,,1,1,,1,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kilimani-4018662
3 Bed Apartment in Kilimani,Residential,Apartment,"KSh 9,000,000",Kilimani,,3.0,3.0,1.0,2026-06-29,94.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4018661
3 Bed Apartment in Kilimani,Residential,Apartment,"KSh 10,500,000",Kilimani,,3.0,3.0,1.0,2026-06-29,102.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4018660
2 Bed Apartment in Kilimani,Residential,Apartment,"KSh 6,000,000",Kilimani,,2.0,2.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4018659
2 Bed Apartment in Kilimani,Residential,Apartment,"KSh 7,000,000",Kilimani,,2.0,2.0,1.0,2026-06-29,70.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4018658
